TOP.6921866c.0007996a	START
TOP.69218edb.000ce1dd	hashes->digests_done_pot	0
TOP.69218edb.000ce1dd	hashes->digests_done_zero	0
TOP.69218edb.000ce1dd	hashes->digests_done	0
TOP.69218edb.000ce1dd	hashes->salts_cnt	1
TOP.69218edb.000ce1dd	hashes->salts_done	0
TOP.69218edb.000ce1dd	SUB.69218f10.00070345	START
TOP.69218edb.000ce1dd	SUB.69218f10.00070345	mask_ctx->mask	?1?1?1?1?1?1?1?1?1?1?1?1?1?1?1?1?1?1?1?1?1?1?1?1?1?1?1?1?1?1?1?1
TOP.69218edb.000ce1dd	SUB.69218f10.00070345	runtime_start	1763806992
TOP.69218edb.000ce1dd	SUB.69218f10.00070345	runtime_stop	1763806992
TOP.69218edb.000ce1dd	SUB.69218f10.00070345	hashes->digests_done_new	0
TOP.69218edb.000ce1dd	SUB.69218f10.00070345	status-after-work	5
TOP.69218edb.000ce1dd	SUB.69218f10.00070345	STOP
TOP.69218edb.000ce1dd	proc_start	1763806939
TOP.69218edb.000ce1dd	proc_stop	1763806993
TOP.69218edb.000ce1dd	STOP
TOP.69218f41.000b2899	START
TOP.69218f41.000b2899	folder_config->cwd	C:\Users\DELL\Downloads\hashcat-7.1.2\hashcat-7.1.2
TOP.69218f41.000b2899	folder_config->install_dir	.
TOP.69218f41.000b2899	folder_config->profile_dir	.
TOP.69218f41.000b2899	folder_config->session_dir	.
TOP.69218f41.000b2899	folder_config->shared_dir	.
TOP.69218f41.000b2899	user_options->custom_charset_1	00
TOP.69218f41.000b2899	user_options->encoding_from	utf-8
TOP.69218f41.000b2899	user_options->encoding_to	utf-8
TOP.69218f41.000b2899	user_options->rule_buf_l	:
TOP.69218f41.000b2899	user_options->rule_buf_r	:
TOP.69218f41.000b2899	user_options->session	hashcat
TOP.69218f41.000b2899	user_options->separator	:
TOP.69218f41.000b2899	user_options->limit	0
TOP.69218f41.000b2899	user_options->skip	0
TOP.69218f41.000b2899	user_options->attack_mode	3
TOP.69218f41.000b2899	user_options->backend_devices_virtmulti	1
TOP.69218f41.000b2899	user_options->backend_devices_virthost	1
TOP.69218f41.000b2899	user_options->backend_devices_keepfree	0
TOP.69218f41.000b2899	user_options->benchmark	0
TOP.69218f41.000b2899	user_options->benchmark_all	0
